,Video ID,Title,Thumbnail URL,Published At,Channel ID,Channel Title,View Count,Like Count,Dislike Count
0,SRXH9AbT280,The Emptiness Machine (Official Music Video) - Linkin Park,https://i.ytimg.com/vi/SRXH9AbT280/default.jpg,2024-11-21T00:29:22Z,UCZU9T1ceaOgwfLRq7OKFU4Q,Linkin Park,65871614,1746087,0
1,kivUsDGWojU,Two Faced (Official Music Video) - Linkin Park,https://i.ytimg.com/vi/kivUsDGWojU/default.jpg,2024-11-21T00:29:34Z,UCZU9T1ceaOgwfLRq7OKFU4Q,Linkin Park,11394160,606893,0
2,5FrhtahQiRc,Heavy Is The Crown ft. Linkin Park (Official Music Video) | League of Legends Worlds 2024 Anthem,https://i.ytimg.com/vi/5FrhtahQiRc/default.jpg,2024-11-21T00:29:41Z,UC2t5bjwHdUX4vM2g8TRDq5g,League of Legends,63687895,1124422,0
3,HhM2OCLfxgo,LINKIN PARK LIVE IN SÃO PAULO BRAZIL 11/15/24 FULL HD,https://i.ytimg.com/vi/HhM2OCLfxgo/default.jpg,2024-11-21T00:29:49Z,UCoxv8AchXrFUAG18Z41kTjw,Alexsander Alves,52630,2783,0
4,fSHoePrnmMw,Over Each Other (Official Music Video) - Linkin Park,https://i.ytimg.com/vi/fSHoePrnmMw/default.jpg,2024-11-21T00:29:58Z,UCZU9T1ceaOgwfLRq7OKFU4Q,Linkin Park,11365409,450287,0
5,EjDM7eGMAlA,"Linkin Park - From Zero - Live - Allianz Parque - São Paulo, Brasil - 15/11/2024",https://i.ytimg.com/vi/EjDM7eGMAlA/default.jpg,2024-11-21T00:30:04Z,UCn2dVkuGINywLqzV1k0MViw,WG.88,54176,2981,0
6,7i4s-NXfkPk,Numb (Live) - Linkin Park,https://i.ytimg.com/vi/7i4s-NXfkPk/default.jpg,2024-11-21T00:30:23Z,UCZU9T1ceaOgwfLRq7OKFU4Q,Linkin Park,8072828,236301,0
7,_f9b0NB5o4E,Cut The Bridge (Official Audio Visualizer) - Linkin Park,https://i.ytimg.com/vi/_f9b0NB5o4E/default.jpg,2024-11-21T00:30:51Z,UCZU9T1ceaOgwfLRq7OKFU4Q,Linkin Park,1756248,69964,0
8,g4HzHarOX60,"LPTV FROM ZERO: Making of ""Two Faced"" Music Video [Episode 10] - Linkin Park",https://i.ytimg.com/vi/g4HzHarOX60/default.jpg,2024-11-21T00:31:00Z,UCZU9T1ceaOgwfLRq7OKFU4Q,Linkin Park,207365,17723,0
9,Ip0jJACsE_g,Good Things Go (Official Audio Visualizer) - Linkin Park,https://i.ytimg.com/vi/Ip0jJACsE_g/default.jpg,2024-11-21T00:31:05Z,UCZU9T1ceaOgwfLRq7OKFU4Q,Linkin Park,1421598,63749,0
10,9L_ZdETLgzQ,Heavy Is The Crown (Live) - Linkin Park,https://i.ytimg.com/vi/9L_ZdETLgzQ/default.jpg,2024-11-21T00:31:20Z,UCZU9T1ceaOgwfLRq7OKFU4Q,Linkin Park,10696391,185610,0
11,WiD6KjygMSs,Linkin Park: The Emptiness Machine | The Tonight Show Starring Jimmy Fallon,https://i.ytimg.com/vi/WiD6KjygMSs/default.jpg,2024-11-21T00:31:50Z,UC8-Th83bH_thdKZDJCrn88g,The Tonight Show Starring Jimmy Fallon,4840769,176660,0
12,IL1nlWOciL0,Linkin Park: FROM ZERO (Livestream),https://i.ytimg.com/vi/IL1nlWOciL0/default.jpg,2024-11-21T02:31:37Z,UCZU9T1ceaOgwfLRq7OKFU4Q,Linkin Park,12174058,565924,0
13,R8OqqaBwcl8,Linkin Park - Heavy Is The Crown | Worlds 2024 Finals Opening Ceremony Presented by Mastercard,https://i.ytimg.com/vi/R8OqqaBwcl8/default.jpg,2024-11-21T02:31:59Z,UC2t5bjwHdUX4vM2g8TRDq5g,League of Legends,3700868,123171,0
14,7F5MKaJMxDc,The Emptiness Machine (Live) - Linkin Park,https://i.ytimg.com/vi/7F5MKaJMxDc/default.jpg,2024-11-21T02:32:08Z,UCZU9T1ceaOgwfLRq7OKFU4Q,Linkin Park,17318953,354325,0
15,HEiyIJO6XLs,"Linkin Park 💥Full LIVE💥 Live in Seoul  ""From Zero World Tour"" @Inspire Arena • 240928",https://i.ytimg.com/vi/HEiyIJO6XLs/default.jpg,2024-11-21T02:32:33Z,UCKcbLC4eI9zDCZmXRrRvX4A,불타는고구마 𝓑ulltago ,608249,16343,0
16,eIMb2lDIaYM,What I've Done (Live) - Linkin Park,https://i.ytimg.com/vi/eIMb2lDIaYM/default.jpg,2024-11-21T02:32:45Z,UCZU9T1ceaOgwfLRq7OKFU4Q,Linkin Park,1605767,54779,0
17,beVgbwD7ITg,"Linkin Park - Live United Kingdom, Birmingham 2017 (PRO SHOOT)",https://i.ytimg.com/vi/beVgbwD7ITg/default.jpg,2024-11-21T02:32:51Z,UCy7m53FOivKsactH5qKhLHg,Fleyn Soldier,101681,2661,0
18,DOKcCl6iKaA,Papercut (Live) - Linkin Park,https://i.ytimg.com/vi/DOKcCl6iKaA/default.jpg,2024-11-21T02:32:57Z,UCZU9T1ceaOgwfLRq7OKFU4Q,Linkin Park,2541657,79151,0
19,ZWhK8zfquBo,In The End (Live) - Linkin Park,https://i.ytimg.com/vi/ZWhK8zfquBo/default.jpg,2024-11-21T02:33:01Z,UCZU9T1ceaOgwfLRq7OKFU4Q,Linkin Park,2806779,101559,0
20,aaqp32nPje8,"Linkin Park Live Kia Forum, Los Angeles CA 2024-09-11 [Full Show HQ Audio]",https://i.ytimg.com/vi/aaqp32nPje8/default.jpg,2024-11-21T02:33:18Z,UCHjqVnmMG7Yn9AOcsonVlww,TJ,2940830,64220,0
21,aylx-JDoyqk,Lost (Live) - Linkin Park,https://i.ytimg.com/vi/aylx-JDoyqk/default.jpg,2024-11-21T02:33:28Z,UCZU9T1ceaOgwfLRq7OKFU4Q,Linkin Park,1410403,51255,0
